datetime,feed_flow,product_flow,reject_flow,temperature,feed_cond,reject_cond,product_cond,feed_ph,orp,reject_ph,product_ph,pressure_drop,feed_pressure,hpp_pressure,cf_pressure
Wed Apr 03 2019 06:00:00 GMT+0530,230,80.31,148,28.62,62490,84071,598,7.63,-15.99,7.75,6.62,,61.3,31.7,2.98
Wed Apr 03 2019 07:00:00 GMT+0530,229,80.26,149,26.89,62509,84941,604,7.66,-16.67,7.75,6.63,,61.32,31.66,2.97
Wed Apr 03 2019 08:00:00 GMT+0530,229,80.26,149,26.89,62509,84941,604,7.66,-16.67,7.75,6.63,,61.32,31.66,2.97
Wed Apr 03 2019 09:00:00 GMT+0530,230,80.17,147,26.93,62483,85813,617,7.66,-16.76,7.71,6.6,,61.3,31.65,2.96
Wed Apr 03 2019 10:00:00 GMT+0530,230,80.17,147,26.93,62483,85813,617,7.66,-16.76,7.71,6.6,,61.3,31.65,2.96
Wed Apr 03 2019 11:00:00 GMT+0530,229,79.64,150,26.96,62558,86289,632,7.63,-16.67,7.7,6.58,,61.31,31.65,2.96
Wed Apr 03 2019 12:00:00 GMT+0530,229,79.64,150,26.96,62558,86289,632,7.63,-16.67,7.7,6.58,,61.31,31.65,2.96
Wed Apr 03 2019 13:00:00 GMT+0530,235,83.1,151,27.1,62558,87482,633,7.64,-16.85,7.7,6.54,,62.5,32.65,2.86
Wed Apr 03 2019 14:00:00 GMT+0530,235,83.1,151,27.1,62558,87482,633,7.64,-16.85,7.7,6.54,,62.5,32.65,2.86
Wed Apr 03 2019 15:00:00 GMT+0530,235,83.46,149,27.39,62490,87876,677,7.64,-15.62,7.69,6.56,,62.44,32.65,2.87
Wed Apr 03 2019 16:00:00 GMT+0530,235,83.46,149,27.39,62490,87876,677,7.64,-15.62,7.69,6.56,,62.44,32.65,2.87
Wed Apr 03 2019 17:00:00 GMT+0530,234,83.74,149,27.36,62448,88100,684,7.63,-15.31,7.72,6.57,,62.47,32.62,2.86
Wed Apr 03 2019 18:00:00 GMT+0530,234,83.74,149,27.36,62448,88100,684,7.63,-15.31,7.72,6.57,,62.47,32.62,2.86
Wed Apr 03 2019 19:00:00 GMT+0530,234,83.67,150,27.22,62457,87890,679,7.64,-15.22,7.71,6.57,,62.41,32.66,2.85
Wed Apr 03 2019 20:00:00 GMT+0530,234,83.67,150,27.22,62457,87890,679,7.64,-15.22,7.71,6.57,,62.41,32.66,2.85
Wed Apr 03 2019 21:00:00 GMT+0530,234,83.42,150,27.15,62493,88100,646,7.66,-15.76,7.72,6.58,,62.42,32.65,2.84
Wed Apr 03 2019 22:00:00 GMT+0530,234,83.42,150,27.15,62493,88100,646,7.66,-15.76,7.72,6.58,,62.42,32.65,2.84
Wed Apr 03 2019 23:00:00 GMT+0530,235,82.92,148,27.09,62549,88451,628,7.66,-15.31,7.72,6.58,,62.48,32.67,2.85
Thu Apr 04 2019 00:00:00 GMT+0530,235,82.92,148,27.09,62549,88451,628,7.66,-15.31,7.72,6.58,,62.48,32.67,2.85
Thu Apr 04 2019 01:00:00 GMT+0530,235,82.87,151,26.99,62513,88659,623,7.66,-16.17,7.71,6.57,,62.47,32.67,2.86
Thu Apr 04 2019 02:00:00 GMT+0530,235,82.87,151,26.99,62513,88659,623,7.66,-16.17,7.71,6.57,,62.47,32.67,2.86
Thu Apr 04 2019 03:00:00 GMT+0530,235,83.09,151,27.11,62561,88781,622,7.63,-16.67,7.71,6.59,,62.51,32.69,2.86
Thu Apr 04 2019 04:00:00 GMT+0530,235,83.09,151,27.11,62561,88781,622,7.63,-16.67,7.71,6.59,,62.51,32.69,2.86
Thu Apr 04 2019 05:00:00 GMT+0530,235,83.67,150,27.09,62479,88956,619,7.64,-16.42,7.74,6.6,,62.51,32.65,2.86
Thu Apr 04 2019 06:00:00 GMT+0530,235,83.67,150,27.09,62479,88956,619,7.64,-16.42,7.74,6.6,,62.51,32.65,2.86
Thu Apr 04 2019 07:00:00 GMT+0530,234,83.1,151,27.04,62603,89024,617,7.65,-16.81,7.72,6.58,,62.52,32.69,2.85
Thu Apr 04 2019 08:00:00 GMT+0530,234,83.1,151,27.04,62603,89024,617,7.65,-16.81,7.72,6.58,,62.52,32.69,2.85
Thu Apr 04 2019 09:00:00 GMT+0530,235,82.94,149,27.09,62597,88932,616,7.65,-16.58,7.73,6.58,,62.53,32.65,2.84
Thu Apr 04 2019 10:00:00 GMT+0530,235,82.94,149,27.09,62597,88932,616,7.65,-16.58,7.73,6.58,,62.53,32.65,2.84
Thu Apr 04 2019 11:00:00 GMT+0530,235,83.98,151,27.24,62623,88961,621,7.66,-16.67,7.72,6.57,,62.61,32.67,2.85
